id,name,name_jp,name_en
225nDaWCk4MpMbnFP6a5An,Xmiss,キスミス,Xmiss
227vuRYYdqkMVDwJuJQd5B,GRANDPHASE,グランフェイズ,GRANDPHASE
22AkY5Vrv76PsWr8q6MCu7,Lara Guidotti,ラーラグィドッティ,Lara Guidotti
22AqCQCGPsmBv3vzFMSgvJ,PinkishBeaute,ピンキッシュボーテ,PinkishBeaute
22JwnhFS88dB2xLGX3uNwj,LaCheteau,ラシュトー,LaCheteau
22KeQzuM2NhTCUVruVS6zD,MIKI HOUSE DOUBLEB,ミキハウスダブルビー,MIKI HOUSE DOUBLEB
22PaLNiH4HqjdCeb39xhSE,京橋千疋屋,キョウバシセンビキヤ,Kyobashi Sembikiya
22S3tC7Fxq4pKNA5XPnAVX,ITALICO,イタリコ,ITALICO
22UPd7Sc88vjQQkVoD7HPV,BURTON,バートン,BURTON
22ZSWkJiU3uS3CxVyXc8YC,mocT,モクティー,mocT
22cYLZx3ct4TNDbNnYYm3W,franchelippee black,フランシュリッペブラック,franchelippee black
22jZRLNLHzGAu7piYRcVan,CATOMA,カトマ,CATOMA
22mpxWjchcxxopTPmxe4KG,atelier MERCADAL,アトリエメルカダル,atelier MERCADAL
22oMCVx56VwgP8vpb3aFZD,DOLCEMEDIO,ドルチェメディオ,DOLCEMEDIO
22roJK8gGbxubyNuVnVo8R,CABaN,キャバン,CABaN
22wnWyk7J4ss24XjtMAY96,COBI,コビー,COBI
232omqnSV8pQrtV3dJFsin,FREE'S SHOP,フリーズショップ,FREE'S SHOP
23AMrRYv8UdXe6tUNDMevk,InstaNatural,インスタナチュラル,InstaNatural
23BfRGaHnsS2fpVDVDxYzT,smbati,サンバティ,smbati
23DidPFNfCGQLTCeXXsQg7,指宿酒造,イブスキシュゾウ,Ibusuki Brewery
23EpBMYMAJ3nvjyqpZo848,Shoowtime,ショウタイム,Shoowtime
23GoMte8mscoQh3mhTRL2A,薬師堂,ヤクシドウ,Yakushido
23HffNJNGm5THzwocJay2G,GOOD ol' PEANUTS,グッドオルピーナッツ,GOOD ol' PEANUTS
23Q4TPcUKKr4St4sQ7y6Fe,Artiemore and Groningen Museum,アーティモアンドフローニンゲンミュージアム,Artiemore and Groningen Museum
23QHovA52hgVzBG2Y2dCXm,Caro Deporte,キャロデポルテ,Caro Deporte
23aDyhcMWLXvEqEpmmZhh9,SAMURAI CORE,サムライコア,SAMURAI CORE
23dhwZVgDGfqcCWgEDxUsW,GOSTAR DE FUGA,ゴスタールジフーガ,GOSTAR DE FUGA
23gb4j5F4iocbtfX2nRrvF,FLEVO,フレヴォ,FLEVO
23jDHzxFJhXqzmyEtUpKB,MOEMI SUGIMURA,モエミスギムラ,MOEMI SUGIMURA
23krPLfwvmfPCvMUx9twNH,VANWEL,ヴァンウェル,VANWEL
23y4o659VFzGkDPGK8XPU3,SteamOne,スチームワン,SteamOne
