## 类别分布信息

| 一级类别 | 件数 | 占比 |
|---|---:|---:|
| キッチン・日用品・その他 | 738 | 9.69% |
| ゲーム・おもちゃ・グッズ | 712 | 9.34% |
| スポーツ | 670 | 8.79% |
| ファッション | 645 | 8.46% |
| 車・バイク・自転車 | 551 | 7.23% |
| ホビー・楽器・アート | 517 | 6.78% |
| アウトドア・釣り・旅行用品 | 455 | 5.97% |
| ハンドメイド・手芸 | 447 | 5.87% |
| DIY・工具 | 400 | 5.25% |
| ベビー・キッズ | 369 | 4.84% |
| 家具・インテリア | 348 | 4.57% |
| ペット用品 | 316 | 4.15% |
| ダイエット・健康 | 279 | 3.66% |
| コスメ・美容 | 233 | 3.06% |
| スマホ・タブレット・パソコン | 232 | 3.04% |
| テレビ・オーディオ・カメラ | 214 | 2.81% |
| フラワー・ガーデニング | 158 | 2.07% |
| 生活家電・空調 | 153 | 2.01% |
| チケット | 60 | 0.79% |
| 本・雑誌・漫画 | 55 | 0.72% |
| CD・DVD・ブルーレイ | 48 | 0.63% |
| 食品・飲料・酒 | 20 | 0.26% |
