source_id,source_path,suggested_target_id,suggested_target_path,score,source_platform,target_platform
101312,CD・DVD>CD>クラシック>その他,LrEaPz8PYjHUEQLCa4bhfY,CD・DVD・ブルーレイ > CD > クラシック,90.0,Rakutern,Mercari
101314,CD・DVD>CD>ワールドミュージック>その他,NRmuRJDwdc7hCX2BfQAEEX,CD・DVD・ブルーレイ > CD > その他,70.0,Rakutern,Mercari
101325,CD・DVD>CD>ワールドミュージック>ジャマイカ（レゲエ等）,NRmuRJDwdc7hCX2BfQAEEX,CD・DVD・ブルーレイ > CD > その他,60.0,Rakutern,Mercari
101337,CD・DVD>ビデオ>洋画>コメディー,Zsqag4vbCwBif7oUzyURGj,CD・DVD・ブルーレイ > VHS・ビデオテープ > 洋画・外国映画,85.0,Rakutern,Mercari
101339,CD・DVD>ビデオ>洋画>サスペンス・ミステリー,Zsqag4vbCwBif7oUzyURGj,CD・DVD・ブルーレイ > VHS・ビデオテープ > 洋画・外国映画,85.0,Rakutern,Mercari
101340,CD・DVD>ビデオ>洋画>ロマンス・ラブストーリー,Zsqag4vbCwBif7oUzyURGj,CD・DVD・ブルーレイ > VHS・ビデオテープ > 洋画・外国映画,85.0,Rakutern,Mercari
101342,CD・DVD>ビデオ>洋画>ヒューマン,Zsqag4vbCwBif7oUzyURGj,CD・DVD・ブルーレイ > VHS・ビデオテープ > 洋画・外国映画,85.0,Rakutern,Mercari
101345,CD・DVD>ビデオ>邦画>ヒューマン,4QtDowodRvjovkPVNuKz3h,CD・DVD・ブルーレイ > VHS・ビデオテープ > 邦画・日本映画,85.0,Rakutern,Mercari
101348,CD・DVD>ビデオ>アニメ>オリジナルアニメ>その他,QEWiTRQ2PDMo5EdG67W7vT,CD・DVD・ブルーレイ > VHS・ビデオテープ > アニメ,90.0,Rakutern,Mercari
101351,CD・DVD>ビデオ>ミュージック>その他,285nSqa92ovPW3d6W7sMSg,CD・DVD・ブルーレイ > VHS・ビデオテープ > ミュージック,90.0,Rakutern,Mercari
101353,CD・DVD>ビデオ>スポーツ>その他,ydZUjcAczRHd35pWZuNQ8f,CD・DVD・ブルーレイ > VHS・ビデオテープ > スポーツ・フィットネス,90.0,Rakutern,Mercari
101356,CD・DVD>DVD>TVドラマ>海外>その他,4hW9cpTYfv4a7AZARyHVaX,CD・DVD・ブルーレイ > DVD > TVドラマ,90.0,Rakutern,Mercari
101359,CD・DVD>DVD>洋画>戦争,T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画,85.0,Rakutern,Mercari
101360,CD・DVD>DVD>洋画>ホラー,T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画,85.0,Rakutern,Mercari
101361,CD・DVD>DVD>洋画>アクション,T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画,85.0,Rakutern,Mercari
101362,CD・DVD>DVD>洋画>西部劇,T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画,85.0,Rakutern,Mercari
101363,CD・DVD>DVD>洋画>コメディー,T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画,85.0,Rakutern,Mercari
101365,CD・DVD>DVD>洋画>サスペンス・ミステリー,T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画,85.0,Rakutern,Mercari
101366,CD・DVD>DVD>洋画>ロマンス・ラブストーリー,T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画,85.0,Rakutern,Mercari
101367,CD・DVD>DVD>アジア・韓国>その他,omShhiXghyLWmczDTnbTTX,CD・DVD・ブルーレイ > DVD > アジア映画,90.0,Rakutern,Mercari
101368,CD・DVD>DVD>洋画>ヒューマン,T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画,85.0,Rakutern,Mercari
101369,CD・DVD>DVD>洋画>SF,T8z4ZwUmmFiN3YybCWt8UJ,CD・DVD・ブルーレイ > DVD > 洋画・外国映画,85.0,Rakutern,Mercari
101371,CD・DVD>DVD>邦画>アクション,tkhg2TENS3SWUG6V6YV6Vh,CD・DVD・ブルーレイ > DVD > 邦画・日本映画,85.0,Rakutern,Mercari
101373,CD・DVD>DVD>TVドラマ>日本>その他,4hW9cpTYfv4a7AZARyHVaX,CD・DVD・ブルーレイ > DVD > TVドラマ,90.0,Rakutern,Mercari
