id,name_jp,name_en,name_cn,rakuten_id,yshop_id,yauc_id,meru_id,ebay_id,rakuma_id,amazon_id,qoo10_id
6001,A,A,A,0,0,0,0,0,1864,,
6002,B,B,B,0,0,0,0,0,0,,
6003,C,C,C,0,0,0,0,0,0,,
6004,D,D,D,0,0,0,0,0,0,,
6005,E,E,E,0,0,0,0,0,0,,
6006,F,F,F,0,0,0,0,0,0,,
6007,G,G,G,0,0,0,0,0,0,,
6008,H,H,H,0,0,0,0,0,0,,
6009,I,I,I,0,0,0,0,0,1761,,
6010,J,J,J,0,0,0,0,0,0,,
6011,K,K,K,0,0,0,0,0,0,,
6012,L,L,L,0,0,0,0,0,0,,
6013,M,M,M,0,0,0,0,0,5367,,
6014,N,N,N,0,0,0,0,0,0,,
6015,O,O,O,0,0,0,0,0,0,,
6016,P,P,P,0,0,0,0,0,0,,
6017,Q,Q,Q,0,0,0,0,0,1503,,
6018,R,R,R,0,0,0,0,0,12385,,
6019,S,S,S,0,0,0,0,0,0,,
6020,T,T,T,0,0,0,0,0,0,,
6021,U,U,U,0,0,0,0,0,11341,,
6022,V,V,V,0,0,0,0,0,4216,,
6023,W,W,W,0,0,0,0,0,0,,
6024,X,X,X,0,0,0,0,0,0,,
6025,Y,Y,Y,0,0,0,0,0,0,,
6026,Z,Z,Z,0,0,0,0,0,0,,
6027,Other,Other,Other,0,0,0,0,0,3499,,
60001,0.01,0.01,0.01,0,0,0,YDfctbJtHnUrY5V9LQPR6N,0,1237,,0
60002,23.65,23.65,23.65,0,48331,48331,iepih7npgPLYk9rg7CWCgD,0,0,,53163
60003,47,47,47,0,0,0,ZK8tp7usdigvLddNsFWKkG,0,0,,76875
60004,69,69,69,0,45761,45761,qwM4hfXHVmmZx7buEkQ8Mg,0,0,,107384
60005,76,76,76,0,0,0,Z5XPQxLPwHdEkaaqfvEjmb,0,0,,119773
60006,81,81,81,0,0,0,9tCCaBsj8NrvtZiJXLoj3a,0,0,,117086
60007,88,88,88,0,0,0,VaLYbUN5KZeiByooMMEyLG,0,0,,107449
60008,163,163,163,0,46346,46346,WcVQeEqsgHV3F2cVrru8aP,0,7107,,0
60009,392,392,392,0,47953,47953,9Yi2evuWbfFRwoEBYYKydP,0,7109,,127486
60010,430,430,430,0,9227,9227,TcBViyRjUgkrhqJgtCt6CK,0,1851,,0
60011,501,501,501,0,9232,9232,WoLuFDyv2UvAeKz6YZ4Kig,0,1854,,106782
60012,603,603,603,0,9236,9236,GirZvu4JRnxuUposCGsUca,0,7110,,0
60013,666,666,666,0,41522,41522,gKbkmVrSJy8zbKeiTHxnqb,0,1858,,115249
60014,701,701,701,0,0,0,kqAXtWDvWmqQom4yyro3hZ,0,0,,0
