id,name_jp,path_name_jp,path_name_id,meru_id,rakuma_id,zenplus_id
100017,植木鉢,花・ガーデン・DIY>ガーデニング・農業>植木鉢・プランター>植木鉢,1025>2396>5518>100017,Qbcsu3gZov2x5aTPvtRLAc,137,41720
100018,その他,花・ガーデン・DIY>ガーデニング・農業>用土・肥料>その他,1025>2396>5527>100018,opXKXrWsYeounzJAY7bWfE,1258,42841
100020,コンテナ,花・ガーデン・DIY>DIY・工具>収納・保管用品>コンテナ,1025>2394>6790>100020,aYMFwUMnnpXrkiKh65T8WN,1258,42842
100040,ノートPC,パソコン・周辺機器>パソコン>ノートPC,1016>2256>100040,rY34Wzt5GkyCcvrE7UQKog,678,36201
100061,モデム・ターミナルアダプタ,パソコン・周辺機器>ネットワーク機器>モデム・ターミナルアダプタ,1016>2255>100061,CmwsKpgGWVMab7GNYp9YzR,680,37810
100081,グラフィックボード,パソコン・周辺機器>PCパーツ>グラフィックボード,1016>2249>100081,wp8dEvVGVGPnMhgVMemJC,1351,37223
100089,PC用メモリ,パソコン・周辺機器>PCパーツ>増設メモリ>PC用メモリ,1016>2249>4720>100089,tmL7upVz9EaS7XdkacR7sd,1351,36201
100104,オフィス統合,パソコン・周辺機器>PCソフト>ビジネス>オフィス統合,1016>2248>4694>100104,wcV62VXneeEqdb2geAQEsd,681,36201
100106,表計算・グラフ,パソコン・周辺機器>PCソフト>ビジネス>表計算・グラフ,1016>2248>4694>100106,wcV62VXneeEqdb2geAQEsd,681,36201
100107,データベース,パソコン・周辺機器>PCソフト>ビジネス>データベース,1016>2248>4694>100107,wcV62VXneeEqdb2geAQEsd,681,36201
100108,プレゼンテーション,パソコン・周辺機器>PCソフト>ビジネス>プレゼンテーション,1016>2248>4694>100108,wcV62VXneeEqdb2geAQEsd,681,36201
100109,その他,パソコン・周辺機器>PCソフト>画像・映像制作>その他,1016>2248>4699>100109,wcV62VXneeEqdb2geAQEsd,681,38064
100110,CAD,パソコン・周辺機器>PCソフト>画像・映像制作>CAD,1016>2248>4699>100110,wcV62VXneeEqdb2geAQEsd,681,36201
100112,業務会計,パソコン・周辺機器>PCソフト>ビジネス>業務会計,1016>2248>4694>100112,wcV62VXneeEqdb2geAQEsd,681,36201
100113,その他,パソコン・周辺機器>PCソフト>ユーティリティ>その他,1016>2248>4696>100113,wcV62VXneeEqdb2geAQEsd,681,36860
100115,その他,パソコン・周辺機器>PCソフト>OS>その他,1016>2248>4688>100115,wcV62VXneeEqdb2geAQEsd,681,38064
100117,その他,パソコン・周辺機器>PCソフト>教育>その他,1016>2248>4701>100117,wcV62VXneeEqdb2geAQEsd,681,38064
100118,その他,パソコン・周辺機器>PCソフト>素材・データ集>その他,1016>2248>4705>100118,wcV62VXneeEqdb2geAQEsd,681,36860
100120,スクリーンセーバー・壁紙,パソコン・周辺機器>PCソフト>素材・データ集>スクリーンセーバー・壁紙,1016>2248>4705>100120,wcV62VXneeEqdb2geAQEsd,681,36201
100121,その他,パソコン・周辺機器>PCソフト>ゲーム>その他,1016>2248>4690>100121,wcV62VXneeEqdb2geAQEsd,792,36860
100122,アニメ,パソコン・周辺機器>PCソフト>アニメ,1016>2248>100122,wcV62VXneeEqdb2geAQEsd,681,38063
100132,その他,パソコン・周辺機器>PCサプライ・消耗品>コピー用紙・印刷用紙>その他,1016>2247>4683>100132,q3jsRF7DemaniZQvDYi7f4,681,36860
100134,フロッピーディスクメディア,パソコン・周辺機器>PCサプライ・消耗品>記録用メディア>フロッピーディスクメディア,1016>2247>4686>100134,UMUege2qHSeNQT3FxBcZXW,681,36201
100137,その他,パソコン・周辺機器>PCサプライ・消耗品>記録用メディアケース>その他,1016>2247>4687>100137,QHjqMMFaZX964xPf3AvSZZ,681,36860
100150,BS・CSアンテナ,TV・オーディオ・カメラ>アクセサリー・部品>テレビ用アクセサリー>アンテナ>BS・CSアンテナ,1002>2010>3079>40019>100150,uYJ8B94YXpNQRhfnJSKBYL,693,23530
100165,その他,TV・オーディオ・カメラ>アクセサリー・部品>オーディオ用アクセサリー>スピーカー用アクセサリー>その他,1002>2010>3076>40012>100165,FrYYKPB5TiRP8FGS3v3C4f,699,23530
100167,レコードプレーヤー,TV・オーディオ・カメラ>オーディオ>コンポ用拡張ユニット>レコードプレーヤー,1002>2011>3089>100167,TdabeonEHR8BXXQeb9pSMh,700,24492
100168,DATデッキ,TV・オーディオ・カメラ>オーディオ>コンポ用拡張ユニット>DATデッキ,1002>2011>3089>100168,cQBzwTEtV2kHZGzfgCnFtT,700,24492
100181,その他,家電>生活家電>掃除機・クリーナー>その他,1024>2389>5430>100181,JSEBH3wDwmFacc8MW8A7vQ,712,39735
100184,その他,家電>季節・空調家電>エアコン>その他,1024>2387>5395>100184,DxZu8KQWQUU7bf89SAamHG,1396,40491
100185,その他,家電>季節・空調家電>扇風機・サーキュレーター>その他,1024>2387>5406>100185,Rv4SbwQK37KWauBwtNHnWH,1395,39510
100199,その他,家電>キッチン家電>ホットプレート・グリル・フライヤー>その他,1024>2384>5374>100199,RUFokHEmbbmyVrLZkwNSf8,1374,40180
100202,その他,家電>キッチン家電>コーヒーメーカー・エスプレッソマシン>その他,1024>2384>5365>100202,Cr9DMjtw4uthTQcK5qapAX,1363,40180
100204,その他,家電>キッチン家電>ミキサー・フードプロセッサー>その他,1024>2384>5375>100204,UNJCFYUS6BqEvFDpPnSgMh,1366,40180
100205,その他,家電>キッチン家電>電子レンジ・オーブンレンジ>その他,1024>2384>5389>100205,7zs9bteXXAaP2aCqhTvYvY,706,40180
100206,その他,家電>キッチン家電>食器洗い乾燥機>その他,1024>2384>5380>100206,GZsHj2o7SswqC53G3QCgui,1380,40180
100211,その他,家電>生活家電>ミシン>その他,1024>2389>5422>100211,gQbgZH6EvsWDRjbjRpNrp6,313,39584
100217,レンズ付フイルム,TV・オーディオ・カメラ>カメラ・ビデオカメラ・光学機器>フィルムカメラ>レンズ付フイルム,1002>2012>3110>100217,qGVX28PWpjGTnJvG2YVBy6,684,25148
100226,インスタントカメラ,TV・オーディオ・カメラ>カメラ・ビデオカメラ・光学機器>フィルムカメラ>インスタントカメラ,1002>2012>3110>100226,rgnHmTuoxqKPZ2zfrTQ6ZF,684,25147
100230,その他,食品>精肉・肉加工品>豚肉>その他,1032>2444>6027>100230,ZWC43UWBob8MWrtkcQXe33,1499,21048
100231,その他,食品>精肉・肉加工品>鶏肉>その他,1032>2444>6022>100231,ZWC43UWBob8MWrtkcQXe33,1499,21048
100232,その他肉類,食品>精肉・肉加工品>その他肉類,1032>2444>100232,ZWC43UWBob8MWrtkcQXe33,1499,19447
100233,その他,食品>精肉・肉加工品>加工品>ハム>その他,1032>2444>6012>40659>100233,ZWC43UWBob8MWrtkcQXe33,1499,19447
100234,その他,食品>精肉・肉加工品>加工品>ソーセージ>その他,1032>2444>6012>40658>100234,ZWC43UWBob8MWrtkcQXe33,1499,19447
100235,その他,食品>卵>その他,1032>2454>100235,PyjTneZu635NM3yuc26oJW,1504,21048
100240,その他,食品>魚介類・水産加工品>魚卵>イクラ・筋子>その他,1032>2443>6015>40654>100240,tBdcSD83udJzJTMUPCpfiV,1498,19447
100242,その他,食品>練り物>その他,1032>2455>100242,tBdcSD83udJzJTMUPCpfiV,1498,21048
100248,その他,食品>野菜・きのこ>その他,1032>2453>100248,Rbfk8iMdMEnDN4gw42GpNA,1501,20026
