id,name_jp,path_name_jp,path_name_id,meru_id,rakuma_id,zenplus_id
101415,高速券,カタログギフト・チケット>金券>旅行・交通関連チケット>高速券,1006>2600>6789>101415,sajhPVEeUZiDGkYcrWWzN5,962,
101428,大相撲,カタログギフト・チケット>金券>興行チケット>スポーツ>大相撲,1006>2600>6787>40028>101428,rTXgUzJT3wiLbpaxFd7HU7,915,
101434,ダンス・バレエ,カタログギフト・チケット>金券>興行チケット>劇場・舞台>ダンス・バレエ,1006>2600>6787>40030>101434,a6HVPKEEasZtsoABSGMyeR,931,
101440,生命保険,サービス・リフォーム>金融・保険>生命保険,1009>2129>101440,uZzsvtai7NK2reFYuZqxoY,137,
101443,証券,サービス・リフォーム>金融・保険>証券,1009>2129>101443,uZzsvtai7NK2reFYuZqxoY,137,
200309,その他,車・バイク>バイク車体（新車・中古車）>ホンダ>その他,1029>2427>5805>200309,KhrZSAy2YEe6ZbHyJfVhbB,1155,
200310,その他,車・バイク>バイク車体（新車・中古車）>ヤマハ>その他,1029>2427>5806>200310,KhrZSAy2YEe6ZbHyJfVhbB,1155,
200558,スポーツ,CD・DVD>LD>スポーツ,1001>2004>200558,ydZUjcAczRHd35pWZuNQ8f,136,
200580,邦画アクション（Vシネマ）,CD・DVD>LD>邦画>邦画アクション（Vシネマ）,1001>2004>3012>200580,4QtDowodRvjovkPVNuKz3h,136,
200721,クレジットカード,サービス・リフォーム>金融・保険>クレジットカード,1009>2129>200721,uZzsvtai7NK2reFYuZqxoY,137,
200722,ローン,サービス・リフォーム>金融・保険>ローン,1009>2129>200722,uZzsvtai7NK2reFYuZqxoY,137,
202011,その他,車・バイク>自動車車体（新車・中古車）>トヨタ>WiLL>その他,1029>2428>5846>40452>202011,S6L2T4w4zhXFRdAEnYq6M6,1136,
202012,アバロン,車・バイク>自動車車体（新車・中古車）>トヨタ>アバロン,1029>2428>5846>202012,S6L2T4w4zhXFRdAEnYq6M6,1136,
202018,イプサム,車・バイク>自動車車体（新車・中古車）>トヨタ>イプサム,1029>2428>5846>202018,S6L2T4w4zhXFRdAEnYq6M6,1136,
202024,オーパ,車・バイク>自動車車体（新車・中古車）>トヨタ>オーパ,1029>2428>5846>202024,S6L2T4w4zhXFRdAEnYq6M6,1136,
202025,ガイア,車・バイク>自動車車体（新車・中古車）>トヨタ>ガイア,1029>2428>5846>202025,S6L2T4w4zhXFRdAEnYq6M6,1136,
202026,カムリ,車・バイク>自動車車体（新車・中古車）>トヨタ>カムリ>カムリ,1029>2428>5846>40457>202026,S6L2T4w4zhXFRdAEnYq6M6,1136,
202028,その他,車・バイク>自動車車体（新車・中古車）>トヨタ>カルディナ>その他,1029>2428>5846>40458>202028,S6L2T4w4zhXFRdAEnYq6M6,1136,
202029,カレン,車・バイク>自動車車体（新車・中古車）>トヨタ>カレン,1029>2428>5846>202029,S6L2T4w4zhXFRdAEnYq6M6,1136,
202031,キャバリエ,車・バイク>自動車車体（新車・中古車）>トヨタ>キャバリエ,1029>2428>5846>202031,S6L2T4w4zhXFRdAEnYq6M6,1136,
202032,キャミ,車・バイク>自動車車体（新車・中古車）>トヨタ>キャミ,1029>2428>5846>202032,S6L2T4w4zhXFRdAEnYq6M6,1136,
202033,クラウン,車・バイク>自動車車体（新車・中古車）>トヨタ>クラウン>クラウン,1029>2428>5846>40460>202033,S6L2T4w4zhXFRdAEnYq6M6,1136,
202035,グランビア,車・バイク>自動車車体（新車・中古車）>トヨタ>グランビア,1029>2428>5846>202035,S6L2T4w4zhXFRdAEnYq6M6,1136,
202036,その他,車・バイク>自動車車体（新車・中古車）>トヨタ>クルーガー>その他,1029>2428>5846>40462>202036,S6L2T4w4zhXFRdAEnYq6M6,1136,
202038,その他,車・バイク>自動車車体（新車・中古車）>トヨタ>コルサ>その他,1029>2428>5846>40463>202038,S6L2T4w4zhXFRdAEnYq6M6,1136,
202040,サイノス,車・バイク>自動車車体（新車・中古車）>トヨタ>サイノス,1029>2428>5846>202040,S6L2T4w4zhXFRdAEnYq6M6,1136,
202043,スパーキー,車・バイク>自動車車体（新車・中古車）>トヨタ>スパーキー,1029>2428>5846>202043,S6L2T4w4zhXFRdAEnYq6M6,1136,
202044,スプリンター,車・バイク>自動車車体（新車・中古車）>トヨタ>スプリンター>スプリンター,1029>2428>5846>40465>202044,S6L2T4w4zhXFRdAEnYq6M6,1136,
202045,セプター,車・バイク>自動車車体（新車・中古車）>トヨタ>セプター,1029>2428>5846>202045,S6L2T4w4zhXFRdAEnYq6M6,1136,
202046,セラ,車・バイク>自動車車体（新車・中古車）>トヨタ>セラ,1029>2428>5846>202046,S6L2T4w4zhXFRdAEnYq6M6,1136,
